{'loss_vfl': tensor(0.3396, device='cuda:0'), 'loss_bbox': tensor(6490.4448, device='cuda:0'), 'loss_giou': tensor(2.3759, device='cuda:0')}
{'loss_vfl': tensor(0.6193, device='cuda:0'), 'loss_bbox': tensor(6733.5234, device='cuda:0'), 'loss_giou': tensor(2.3593, device='cuda:0')}
{'loss_vfl': tensor(0.5990, device='cuda:0'), 'loss_bbox': tensor(7245.0596, device='cuda:0'), 'loss_giou': tensor(2.2914, device='cuda:0')}
{'loss_vfl': tensor(0.4357, device='cuda:0'), 'loss_bbox': tensor(7419.3677, device='cuda:0'), 'loss_giou': tensor(2.3131, device='cuda:0')}
{'loss_vfl': tensor(0.6931, device='cuda:0'), 'loss_bbox': tensor(6333.2285, device='cuda:0'), 'loss_giou': tensor(2.2062, device='cuda:0')}
{'loss_vfl': tensor(0.8524, device='cuda:0'), 'loss_bbox': tensor(6125.0820, device='cuda:0'), 'loss_giou': tensor(2.0843, device='cuda:0')}
{'loss_vfl': tensor(0.5542, device='cuda:0'), 'loss_bbox': tensor(6819.0547, device='cuda:0'), 'loss_giou': tensor(2.2179, device='cuda:0')}
{'loss_vfl': tensor(0.3801, device='cuda:0'), 'loss_bbox': tensor(7004.9487, device='cuda:0'), 'loss_giou': tensor(2.3528, device='cuda:0')}
{'loss_vfl': tensor(0.7388, device='cuda:0'), 'loss_bbox': tensor(7672.0503, device='cuda:0'), 'loss_giou': tensor(2.3692, device='cuda:0')}
{'loss_vfl': tensor(0.6756, device='cuda:0'), 'loss_bbox': tensor(6547.6484, device='cuda:0'), 'loss_giou': tensor(2.1649, device='cuda:0')}
{'loss_vfl': tensor(0.3916, device='cuda:0'), 'loss_bbox': tensor(7281.8838, device='cuda:0'), 'loss_giou': tensor(2.3399, device='cuda:0')}
{'loss_vfl': tensor(0.8731, device='cuda:0'), 'loss_bbox': tensor(7573.1743, device='cuda:0'), 'loss_giou': tensor(2.2318, device='cuda:0')}
{'loss_vfl': tensor(0.7061, device='cuda:0'), 'loss_bbox': tensor(6504.4165, device='cuda:0'), 'loss_giou': tensor(2.1779, device='cuda:0')}
{'loss_vfl': tensor(0.7721, device='cuda:0'), 'loss_bbox': tensor(6894.8970, device='cuda:0'), 'loss_giou': tensor(2.2925, device='cuda:0')}
{'loss_vfl': tensor(0.5084, device='cuda:0'), 'loss_bbox': tensor(6813.1201, device='cuda:0'), 'loss_giou': tensor(2.2799, device='cuda:0')}
{'loss_vfl': tensor(0.5327, device='cuda:0'), 'loss_bbox': tensor(6892.4116, device='cuda:0'), 'loss_giou': tensor(2.3300, device='cuda:0')}
{'loss_vfl': tensor(0.5572, device='cuda:0'), 'loss_bbox': tensor(7492.2998, device='cuda:0'), 'loss_giou': tensor(2.2538, device='cuda:0')}
{'loss_vfl': tensor(0.4584, device='cuda:0'), 'loss_bbox': tensor(7144.2681, device='cuda:0'), 'loss_giou': tensor(2.2254, device='cuda:0')}
{'loss_vfl': tensor(0.6873, device='cuda:0'), 'loss_bbox': tensor(6018.1074, device='cuda:0'), 'loss_giou': tensor(2.2384, device='cuda:0')}
{'loss_vfl': tensor(0.6733, device='cuda:0'), 'loss_bbox': tensor(6793.2075, device='cuda:0'), 'loss_giou': tensor(2.2186, device='cuda:0')}
{'loss_vfl': tensor(0.6041, device='cuda:0'), 'loss_bbox': tensor(6502.0903, device='cuda:0'), 'loss_giou': tensor(2.2752, device='cuda:0')}
{'loss_vfl': tensor(0.4273, device='cuda:0'), 'loss_bbox': tensor(6955.5835, device='cuda:0'), 'loss_giou': tensor(2.3130, device='cuda:0')}
{'loss_vfl': tensor(0.5613, device='cuda:0'), 'loss_bbox': tensor(6950.0869, device='cuda:0'), 'loss_giou': tensor(2.2523, device='cuda:0')}
{'loss_vfl': tensor(0.4657, device='cuda:0'), 'loss_bbox': tensor(6268.5884, device='cuda:0'), 'loss_giou': tensor(2.2125, device='cuda:0')}
{'loss_vfl': tensor(0.4929, device='cuda:0'), 'loss_bbox': tensor(5945.0078, device='cuda:0'), 'loss_giou': tensor(2.2912, device='cuda:0')}
{'loss_vfl': tensor(0.4596, device='cuda:0'), 'loss_bbox': tensor(5281.0596, device='cuda:0'), 'loss_giou': tensor(2.0798, device='cuda:0')}
{'loss_vfl': tensor(0.3759, device='cuda:0'), 'loss_bbox': tensor(6601.9170, device='cuda:0'), 'loss_giou': tensor(2.3130, device='cuda:0')}
{'loss_vfl': tensor(0.7127, device='cuda:0'), 'loss_bbox': tensor(6375.4272, device='cuda:0'), 'loss_giou': tensor(2.2865, device='cuda:0')}
{'loss_vfl': tensor(0.6346, device='cuda:0'), 'loss_bbox': tensor(6289.5332, device='cuda:0'), 'loss_giou': tensor(2.2809, device='cuda:0')}
{'loss_vfl': tensor(0.2753, device='cuda:0'), 'loss_bbox': tensor(7397.1631, device='cuda:0'), 'loss_giou': tensor(2.4570, device='cuda:0')}
{'loss_vfl': tensor(0.4545, device='cuda:0'), 'loss_bbox': tensor(6071.2568, device='cuda:0'), 'loss_giou': tensor(2.2385, device='cuda:0')}
{'loss_vfl': tensor(0.5288, device='cuda:0'), 'loss_bbox': tensor(6169.8408, device='cuda:0'), 'loss_giou': tensor(2.2473, device='cuda:0')}
{'loss_vfl': tensor(0.5201, device='cuda:0'), 'loss_bbox': tensor(7928.5396, device='cuda:0'), 'loss_giou': tensor(2.3385, device='cuda:0')}
{'loss_vfl': tensor(0.4036, device='cuda:0'), 'loss_bbox': tensor(6852.5137, device='cuda:0'), 'loss_giou': tensor(2.2221, device='cuda:0')}
{'loss_vfl': tensor(0.5917, device='cuda:0'), 'loss_bbox': tensor(6293.3877, device='cuda:0'), 'loss_giou': tensor(2.1785, device='cuda:0')}
{'loss_vfl': tensor(0.4065, device='cuda:0'), 'loss_bbox': tensor(6492.2656, device='cuda:0'), 'loss_giou': tensor(2.3762, device='cuda:0')}
{'loss_vfl': tensor(0.7779, device='cuda:0'), 'loss_bbox': tensor(5916.7456, device='cuda:0'), 'loss_giou': tensor(2.1147, device='cuda:0')}
{'loss_vfl': tensor(0.4880, device='cuda:0'), 'loss_bbox': tensor(6535.6562, device='cuda:0'), 'loss_giou': tensor(2.1581, device='cuda:0')}
{'loss_vfl': tensor(0.3897, device='cuda:0'), 'loss_bbox': tensor(6345.5811, device='cuda:0'), 'loss_giou': tensor(2.2134, device='cuda:0')}
{'loss_vfl': tensor(0.6084, device='cuda:0'), 'loss_bbox': tensor(6209.2393, device='cuda:0'), 'loss_giou': tensor(2.2633, device='cuda:0')}
{'loss_vfl': tensor(0.2953, device='cuda:0'), 'loss_bbox': tensor(7129.3086, device='cuda:0'), 'loss_giou': tensor(2.4981, device='cuda:0')}
{'loss_vfl': tensor(0.5288, device='cuda:0'), 'loss_bbox': tensor(6355.9907, device='cuda:0'), 'loss_giou': tensor(2.3491, device='cuda:0')}
{'loss_vfl': tensor(0.3914, device='cuda:0'), 'loss_bbox': tensor(6841.2769, device='cuda:0'), 'loss_giou': tensor(2.3403, device='cuda:0')}
{'loss_vfl': tensor(0.3590, device='cuda:0'), 'loss_bbox': tensor(6201.2056, device='cuda:0'), 'loss_giou': tensor(2.3456, device='cuda:0')}
{'loss_vfl': tensor(0.5338, device='cuda:0'), 'loss_bbox': tensor(6970.6318, device='cuda:0'), 'loss_giou': tensor(2.3411, device='cuda:0')}
{'loss_vfl': tensor(0.5662, device='cuda:0'), 'loss_bbox': tensor(7143.3965, device='cuda:0'), 'loss_giou': tensor(2.2766, device='cuda:0')}
{'loss_vfl': tensor(0.5512, device='cuda:0'), 'loss_bbox': tensor(6733.3687, device='cuda:0'), 'loss_giou': tensor(2.3593, device='cuda:0')}
{'loss_vfl': tensor(0.5091, device='cuda:0'), 'loss_bbox': tensor(7245.0171, device='cuda:0'), 'loss_giou': tensor(2.2918, device='cuda:0')}
{'loss_vfl': tensor(0.4359, device='cuda:0'), 'loss_bbox': tensor(7419.9668, device='cuda:0'), 'loss_giou': tensor(2.3134, device='cuda:0')}
{'loss_vfl': tensor(0.6717, device='cuda:0'), 'loss_bbox': tensor(6333.3403, device='cuda:0'), 'loss_giou': tensor(2.2066, device='cuda:0')}
{'loss_vfl': tensor(0.7767, device='cuda:0'), 'loss_bbox': tensor(6125.4512, device='cuda:0'), 'loss_giou': tensor(2.0844, device='cuda:0')}
{'loss_vfl': tensor(0.3744, device='cuda:0'), 'loss_bbox': tensor(6819.3940, device='cuda:0'), 'loss_giou': tensor(2.2181, device='cuda:0')}
{'loss_vfl': tensor(0.3567, device='cuda:0'), 'loss_bbox': tensor(7005.1895, device='cuda:0'), 'loss_giou': tensor(2.3530, device='cuda:0')}
{'loss_vfl': tensor(0.6110, device='cuda:0'), 'loss_bbox': tensor(7672.4355, device='cuda:0'), 'loss_giou': tensor(2.3699, device='cuda:0')}
{'loss_vfl': tensor(0.6726, device='cuda:0'), 'loss_bbox': tensor(6547.7173, device='cuda:0'), 'loss_giou': tensor(2.1651, device='cuda:0')}
{'loss_vfl': tensor(0.3160, device='cuda:0'), 'loss_bbox': tensor(7282.4082, device='cuda:0'), 'loss_giou': tensor(2.3403, device='cuda:0')}
{'loss_vfl': tensor(0.8169, device='cuda:0'), 'loss_bbox': tensor(7572.7339, device='cuda:0'), 'loss_giou': tensor(2.2323, device='cuda:0')}
{'loss_vfl': tensor(0.6055, device='cuda:0'), 'loss_bbox': tensor(6504.0146, device='cuda:0'), 'loss_giou': tensor(2.1781, device='cuda:0')}
{'loss_vfl': tensor(0.5922, device='cuda:0'), 'loss_bbox': tensor(6895.1074, device='cuda:0'), 'loss_giou': tensor(2.2924, device='cuda:0')}
{'loss_vfl': tensor(0.4868, device='cuda:0'), 'loss_bbox': tensor(6813.0718, device='cuda:0'), 'loss_giou': tensor(2.2799, device='cuda:0')}
{'loss_vfl': tensor(0.4225, device='cuda:0'), 'loss_bbox': tensor(6892.4873, device='cuda:0'), 'loss_giou': tensor(2.3304, device='cuda:0')}
{'loss_vfl': tensor(0.3888, device='cuda:0'), 'loss_bbox': tensor(7491.7866, device='cuda:0'), 'loss_giou': tensor(2.2537, device='cuda:0')}
{'loss_vfl': tensor(0.3952, device='cuda:0'), 'loss_bbox': tensor(7143.8701, device='cuda:0'), 'loss_giou': tensor(2.2255, device='cuda:0')}
{'loss_vfl': tensor(0.4930, device='cuda:0'), 'loss_bbox': tensor(6018.0049, device='cuda:0'), 'loss_giou': tensor(2.2382, device='cuda:0')}
{'loss_vfl': tensor(0.5869, device='cuda:0'), 'loss_bbox': tensor(6793.2222, device='cuda:0'), 'loss_giou': tensor(2.2191, device='cuda:0')}
{'loss_vfl': tensor(0.5381, device='cuda:0'), 'loss_bbox': tensor(6502.4180, device='cuda:0'), 'loss_giou': tensor(2.2752, device='cuda:0')}
{'loss_vfl': tensor(0.5080, device='cuda:0'), 'loss_bbox': tensor(6955.4956, device='cuda:0'), 'loss_giou': tensor(2.3129, device='cuda:0')}
{'loss_vfl': tensor(0.6460, device='cuda:0'), 'loss_bbox': tensor(6950.0645, device='cuda:0'), 'loss_giou': tensor(2.2525, device='cuda:0')}
{'loss_vfl': tensor(0.3683, device='cuda:0'), 'loss_bbox': tensor(6268.7964, device='cuda:0'), 'loss_giou': tensor(2.2126, device='cuda:0')}
